"","PersonId","CaucusShortName","VotesParticipated","Percentage_Whipped","ConstituencyName","StartDate","EndDate"
"1",33,"Liberal",397,78.4,"Cardigan","2021-09-20 12:00:00 AM",""
"2",376,"Bloc Québécois",401,82.1,"La Pointe-de-l'Île","2021-09-20 12:00:00 AM",""
"3",413,"Bloc Québécois",395,81.6,"Bécancour—Nicolet—Saurel","2021-09-20 12:00:00 AM",""
"4",496,"Bloc Québécois",328,66.1,"Montarville","2021-09-20 12:00:00 AM",""
"5",891,"Conservative",235,86.6,"Oxford","2021-09-20 12:00:00 AM","2023-01-28 11:59:59 PM"
"6",957,"Liberal",385,74.2,"Scarborough—Guildwood","2021-09-20 12:00:00 AM",""
"7",992,"Liberal",364,73,"Toronto—St. Paul's","2021-09-20 12:00:00 AM",""
"8",1589,"Liberal",344,79.4,"Vancouver Centre","2021-09-20 12:00:00 AM",""
"9",1787,"Liberal",390,78.4,"Humber River—Black Creek","2021-09-20 12:00:00 AM",""
"10",1809,"Conservative",393,89.2,"Renfrew—Nipissing—Pembroke","2021-09-20 12:00:00 AM",""
"11",1813,"Liberal",394,78.9,"Beauséjour","2021-09-20 12:00:00 AM",""
"12",1827,"Conservative",401,90.7,"Lanark—Frontenac—Kingston","2021-09-20 12:00:00 AM",""
"13",2897,"Green Party",394,100,"Saanich—Gulf Islands","2021-09-20 12:00:00 AM",""
"14",3306,"Conservative",402,91.4,"Dauphin—Swan River—Neepawa","2021-09-20 12:00:00 AM",""
"15",7251,"Conservative",387,89,"Brandon—Souris","2021-09-20 12:00:00 AM",""
"16",9137,"NDP",380,86,"Windsor West","2021-09-20 12:00:00 AM",""
"17",9486,"Liberal",400,78.9,"Ottawa South","2021-09-20 12:00:00 AM",""
"18",10524,"Liberal",260,72.9,"Notre-Dame-de-Grâce—Westmount","2021-09-20 12:00:00 AM","2023-03-08 11:59:59 PM"
"19",13218,"Liberal",244,48.7,"Labrador","2021-09-20 12:00:00 AM",""
"20",14171,"Liberal",355,76.5,"Laurier—Sainte-Marie","2021-09-20 12:00:00 AM",""
"21",16399,"NDP",397,89,"New Westminster—Burnaby","2021-09-20 12:00:00 AM",""
"22",17210,"Conservative",404,92.2,"Fundy Royal","2021-09-20 12:00:00 AM",""
"23",20878,"Conservative",398,90.9,"South Surrey—White Rock","2021-09-20 12:00:00 AM",""
"24",25446,"Conservative",405,92.9,"Niagara West","2021-09-20 12:00:00 AM",""
"25",25451,"Liberal",376,73.6,"Honoré-Mercier","2021-09-20 12:00:00 AM",""
"26",25452,"Liberal",0,20.6,"Nipissing—Timiskaming","2021-09-20 12:00:00 AM",""
