Seat,Member of Parliament,Political Affiliation,Constituency,Province or Territory,Seat Side,Seat Column,Seat Row
Speaker's chair,Hon. Anthony Rota,Liberal,Nipissing—Timiskaming,Ontario,3,0,0
First chair,Todd Doherty,Conservative,Cariboo—Prince George,British Columbia,1,3,1
Second chair,Hon. Erin O'Toole,Conservative,Durham,Ontario,1,4,1
Third chair,James Bezan,Conservative,Selkirk—Interlake—Eastman,Manitoba,1,5,1
Fourth chair,Tom Kmiec,Conservative,Calgary Shepard,Alberta,1,6,1
Fifth chair,Rachael Thomas,Conservative,Lethbridge,Alberta,1,7,1
Sixth chair,Gérard Deltell,Conservative,Louis-Saint-Laurent,Quebec,1,8,1
Seventh chair,Shannon Stubbs,Conservative,Lakeland,Alberta,1,9,1
Eighth chair,Pierre Paul-Hus,Conservative,Charlesbourg—Haute-Saint-Charles,Quebec,1,10,1
Ninth chair,Hon. Andrew Scheer,Conservative,Regina—Qu'Appelle,Saskatchewan,1,11,1
Tenth chair,Hon. Tim Uppal,Conservative,Edmonton Mill Woods,Alberta,1,12,1
Eleventh chair,Hon. Pierre Poilievre,Conservative,Carleton,Ontario,1,13,1
Twelfth chair,Melissa Lantsman,Conservative,Thornhill,Ontario,1,14,1
Thirteenth chair,Jasraj Singh Hallan,Conservative,Calgary Forest Lawn,Alberta,1,15,1
Fourteenth chair,Leslyn Lewis,Conservative,Haldimand—Norfolk,Ontario,1,16,1
Fifteenth chair,Mark Strahl,Conservative,Chilliwack—Hope,British Columbia,1,17,1
Sixteenth chair,Raquel Dancho,Conservative,Kildonan—St. Paul,Manitoba,1,18,1
Seventeenth chair,John Barlow,Conservative,Foothills,Alberta,1,19,1
Eighteenth chair,Tracy Gray,Conservative,Kelowna—Lake Country,British Columbia,1,20,1
Nineteenth chair,Hon. Rob Moore,Conservative,Fundy Royal,New Brunswick,1,21,1
Twentieth chair,Gabriel Ste-Marie,Bloc Québécois,Joliette,Quebec,1,22,1
Twenty-first chair,Yves-François Blanchet,Bloc Québécois,Beloeil—Chambly,Quebec,1,23,1
Twenty-second chair,Alain Therrien,Bloc Québécois,La Prairie,Quebec,1,24,1
Twenty-third chair,Christine Normandin,Bloc Québécois,Saint-Jean,Quebec,1,25,1
Twenty-fourth chair,Mario Simard,Bloc Québécois,Jonquière,Quebec,1,26,1
Twenty-fifth chair,Stéphane Bergeron,Bloc Québécois,Montarville,Quebec,1,27,1
Twenty-sixth chair,Brian Masse,NDP,Windsor West,Ontario,1,28,1
Twenty-seventh chair,Jagmeet Singh,NDP,Burnaby South,British Columbia,1,29,1
Twenty-eighth chair,Peter Julian,NDP,New Westminster—Burnaby,British Columbia,1,30,1
Twenty-ninth chair,Jenny Kwan,NDP,Vancouver East,British Columbia,1,31,1
Thirtieth chair,Niki Ashton,NDP,Churchill—Keewatinook Aski,Manitoba,1,32,1
First chair,Tony Baldinelli,Conservative,Niagara Falls,Ontario,1,1,2
Second chair,Dan Mazier,Conservative,Dauphin—Swan River—Neepawa,Manitoba,1,2,2
Third chair,Chris Lewis,Conservative,Essex,Ontario,1,3,2
Fourth chair,Garnett Genuis,Conservative,Sherwood Park—Fort Saskatchewan,Alberta,1,4,2
Fifth chair,Kyle Seeback,Conservative,Dufferin—Caledon,Ontario,1,5,2
Sixth chair,Blake Richards,Conservative,Banff—Airdrie,Alberta,1,6,2
Seventh chair,Clifford Small,Conservative,Coast of Bays—Central—Notre Dame,Newfoundland and Labrador,1,7,2
Eighth chair,Stephen Ellis,Conservative,Cumberland—Colchester,Nova Scotia,1,8,2
Ninth chair,Jake Stewart,Conservative,Miramichi—Grand Lake,New Brunswick,1,9,2
Tenth chair,Luc Berthold,Conservative,Mégantic—L'Érable,Quebec,1,10,2
Eleventh chair,Eric Duncan,Conservative,Stormont—Dundas—South Glengarry,Ontario,1,11,2
Twelfth chair,Chris Warkentin,Conservative,Grande Prairie—Mackenzie,Alberta,1,12,2
Thirteenth chair,Hon. Kerry-Lynne D. Findlay,Conservative,South Surrey—White Rock,British Columbia,1,13,2
Fourteenth chair,Ziad Aboultaif,Conservative,Edmonton Manning,Alberta,1,14,2
Fifteenth chair,Hon. Michael D. Chong,Conservative,Wellington—Halton Hills,Ontario,1,15,2
Sixteenth chair,Stephanie Kusie,Conservative,Calgary Midnapore,Alberta,1,16,2
Seventeenth chair,Michael Barrett,Conservative,Leeds—Grenville—Thousand Islands and Rideau Lakes,Ontario,1,17,2
Eighteenth chair,Michelle Ferreri,Conservative,Peterborough—Kawartha,Ontario,1,18,2
Nineteenth chair,Jamie Schmale,Conservative,Haliburton—Kawartha Lakes—Brock,Ontario,1,19,2
Twentieth chair,Gary Vidal,Conservative,Desnethé—Missinippi—Churchill River,Saskatchewan,1,20,2
Twenty-first chair,Rick Perkins,Conservative,South Shore—St. Margarets,Nova Scotia,1,21,2
Twenty-second chair,Jean-Denis Garon,Bloc Québécois,Mirabel,Quebec,1,22,2
